"","1","3_6_14_48","4_5_28_38_46","8_44","9_45_55_59_62","10_27","11","2_12_19","13_43","15_57","16_25_49","17","18","20","21_26_51_60","22_39_58","24","30","31","7_32","33","34","35","29_36_52_63","37","40","41","42","47","50","53","54","56","61","64","65","66","67","68_86","71","72_81","23_69_73","74","75","76","77","78","70_79_83","80","82","84","85","87","88","89","90","91"
"1",0,0,-0.0528814082443166,0,0.024287202237672,0,0.150620221551092,0,0,0,0.151529468960163,0,0,0.0899959969166771,0,0.0132349031419602,0.000569301383112293,0,0.0129922818282458,0.0345446449622544,0,0,0,0,0.00647354237113415,0,0,0,0.110833703080814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733483273062157,0,0,0,0,0,0,0.031523151613473
"3_6_14_48",0,0,0,0.0674849984213887,0,0.0107672876282127,0.0203655858164081,0,0,0,0,0,0.00433602385651359,0,0,0.23139596046413,0.066301194600563,0,0,0,0.0473865220859289,0,0.181232584822724,0.0106342425597948,0,0,0,0,0.0225895994104091,0,0,0,0.0186972433423172,0,0,0.0514256491456687,0,0,0,0,0,0,0,0,0,0.0150936928360587,0,0,0,0,0.0372356067110061,0,0,0,0,0,0
"4_5_28_38_46",-0.0528814082443166,0,0,0,0,0,0.0208582846702698,0,0,0,0,0,0,0,0,-0.0271357755127985,0,0,0,0,0,0,0,0,0,0.0773276663236553,0,0,0,0,0.207487613828145,0,0,0.197110522719163,0.286558390387078,0,0,0,0,-0.00770286573821581,0,-0.026616298209986,0,0,0,0,0,0,0,-0.00194149936066504,0,0,0,0,0,0,0
"8_44",0,0.0674849984213887,0,0,0,0.0299389303373761,0.0388660846369749,0,0,0,0,0,0,0,0.217586483634726,0,0,0,0,0,0.087992398561047,0.00947516526058375,0.0147719680500582,0.0722344789393102,0,0,0.0484367507025968,0,0.0707652561542008,0,0,0,0.0461950485533121,0,0.0517882389245327,0,0,0.141009336182077,0.00714512233576927,0,0,0,0,0,0,0.0284670110990186,0,0,0,0,0.0100048567800358,0.0652287736729116,0,0,0,0,0
"9_45_55_59_62",0.024287202237672,0,0,0,0,0.0632028538428733,0.00234265212288573,0.16681183490003,0,0,0.049400680713214,0,0,0,0,0,0,0,0.233007740264835,0.254709803527639,0,0,0,0,0,0,0.0898294181566825,0,0.05847524015085,0,0.103802419432653,0,0,0,0.000825806777986269,0,0,0,0,0,0,0,0,0,0,0,0.107380429120798,0,0,0,0,0,0,0,0,0,0
"10_27",0,0.0107672876282127,0,0.0299389303373761,0.0632028538428733,0,0,0.0157128212611884,0,0,0.0527373503384408,0,0.174222347470656,0.0692285209449127,0.0371649216510293,0,0.109435129599661,0,0.0214424712137111,0,0,0,0,0,0.0360168623514012,0,0.082002765528953,0,0.0261508033205316,0.0647566255258413,0,0,0,0,0,0,0.0655031168182282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141443759992429,0,0,0.0173961918446723,0.0614391992979341,0,0.0304891943601919
"11",0.150620221551092,0.0203655858164081,0.0208582846702698,0.0388660846369749,0.00234265212288573,0,0,0,0,0,0.186901624478893,0,0,0,0,0,0,0,0,0.123227648688085,0,0,0,0.0483250472585966,0,0.0534420218573112,0,0,0.177880656818649,0,0.16753936474174,0,0,0,0.0614289064370433,0,0,0,0.122515601576495,0,0.156227961778053,0,0.0134144237286717,0,0,0,0.0771501228604303,0,0,0.00822279283407139,0,0,0,0.0438754618945242,0,0,0
"2_12_19",0,0,0,0,0.16681183490003,0.0157128212611884,0,0,0,0,0.0474435014399389,0,0,0.0402740067801286,0,0,0,0,0.0883330903211859,0.179378675078323,0,0,0,0,0.109610034323649,0,0.106601166221816,0.0667690291716643,0.0564538629949754,0,0.0255161195126859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13_43",0,0,0,0,0,0,0,0,0,0,0,0.0196926284295226,0,0,0,-0.104811905859203,0,0,0,0,0,0,0.0296657380221754,0.256497434616324,-0.00177170700342375,0,0,-0.0312601123361439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096757668953148,0,0
"15_57",0,0,0,0,0,0,0,0,0,0,0,0.0481044947268228,0,0,0,0,0,0.0618373672922025,0,0,0,0.213693873241624,0,0,0,0,0,0.0099941564793816,0,0,0,0.0321916875874529,0,0,0,0,0,-0.0300010837807605,0,0,0,0.207151900999236,0,0,0.137343627248237,0,0,0,0.0622066948745253,0,0,0,0,0,0.0335923485090416,0,0
"16_25_49",0.151529468960163,0,0,0,0.049400680713214,0.0527373503384408,0.186901624478893,0.0474435014399389,0,0,0,0,0,0,0,0,0,0,0,0.365547541237473,0.0204570902862348,0,0,0,0,0,0,0,0.0458328710806666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191844252456071,0.0538158242654402,0,0,0,0,0,0,0.011290875778373,0,0,0
