,degree
01,11
3_6_14_48,13
4_5_28_38_46,8
07,10
8_44,14
9_45_59,11
10_27,16
11,15
2_12_19,10
13_43,7
15_34_57,8
16_25_49,8
17,11
18,15
20,12
21_26_51_60,13
22_39_58,8
23,12
24,16
30,13
32,13
33,13
35,16
29_36_52_63,9
37,17
40,10
41,16
42,15
47,20
50,15
53,15
54,17
31_55_62,8
56,15
61,14
64,8
65,18
66_68_86,22
69_73,9
70,11
71,12
72_81,7
74,11
75_88,10
76,12
77,13
78,14
80,15
82,10
67_79_83_85,17
84,19
87,13
89,12
90,14
91,15
