,degree
01,6
2_12,11
3_6_14_48,5
4_5_38_46,5
8_44,18
10,19
11,13
13_43,5
15_57,7
16_49,10
17,10
18,16
19,10
20,14
21_26_51,13
22_39_58,7
24,15
27,15
28,7
29,8
30,10
7_25_32,10
33,16
34,12
35,17
36_52_63,10
37,12
40,14
41,14
42,9
9_45_59_62,10
47,10
50,12
53,12
54,15
31_55,10
56,17
60,14
61,11
64,12
65,13
66,16
67,17
68_86,13
70,8
71,11
72_81,4
23_69_73,10
74_75,10
76,9
77,11
78,14
79_83_85,9
80,9
82,8
84,17
87,13
88,10
89,12
90,11
91,14
