,degree
1,14
3_6_14_48,13
4_5_28_38_46,12
8_44,18
9_45_55_59_62,11
10_27,16
11,18
2_12_19,13
13_43,9
15_57,8
16_25_49,13
17,12
18,17
20,17
21_26_51_60,18
22_39_58,7
24,20
30,13
31,12
7_32,10
33,17
34,9
35,23
29_36_52_63,13
37,14
40,16
41,16
42,17
47,18
50,17
53,16
54,23
56,19
61,14
64,11
65,18
66,17
67,20
68_86,15
71,10
72_81,12
23_69_73,15
74,9
75,13
76,11
77,17
78,17
70_79_83,14
80,10
82,10
84,18
85,17
87,14
88,15
89,13
90,18
91,15
