,degree
01,10
3_6_14_18,11
4_5_28_38_46,14
8_44,23
9_45_55_59,11
10_27,17
11,15
2_12_19,11
13_43,10
15_57,9
16_25_49,12
17,11
18,17
20,17
21_26_51_60,14
22_39_58,10
24,20
30,10
31,12
7_32,12
33,18
34,13
35,23
29_36_52_63,15
37,14
40,13
41,18
42,14
47,18
50,18
53,18
54,23
56,18
61,14
62,10
64,13
65,16
66,22
67,17
68_86,17
71,15
72_81,8
23_69_73,14
74,13
75,16
76,14
77,17
78,15
70_79_83,9
80,13
82,13
84,23
85,17
87,13
88,11
89,13
90,12
91,18
