,degree
1,13
3_6_14_48,11
4_5_28_38_46,11
8_44,24
9_45_55_59_62,10
10_27,16
11,17
2_12_19,10
13_43,11
15_57,10
16_25_49,15
17,14
18,16
20,10
21_26_51_60,14
22_39_58,8
24,22
30,11
31,14
7_32,15
33,19
34,18
35,12
29_36_52_63,13
37,16
40,11
41,17
42,17
47,16
50,17
53,21
54,18
56,15
61,17
64,8
65,17
66,18
67,16
68_86,17
71,8
72_81,6
23_69_73,14
74,14
75,14
76,18
77,17
78,19
70_79_83,8
80,11
82,10
84,19
85,19
87,11
88,10
89,14
90,15
91,20
