,num_nodes,num_edges,avg_degree,avg_shortest_path,radius,diameter,node_connectivity,edge_connectivity,avg_closeness_centrality,avg_betweenness_centrality,avg_degree_centrality,avg_eigenvector_centrality,avg_clustering,assortativity
age_adj_3,57,433,15.192982456140351,1.7700501253132832,2,3,6,6,0.5674407456760001,0.014000911369332424,0.27130325814536344,0.12618171310382068,0.38687462925796323,0.09519075517913882
bn_adj,61,350,11.475409836065573,1.9814207650273223,2,3,4,4,0.5079467354787345,0.01663425025470038,0.19125683060109283,0.11831460455541915,0.3148195594409368,0.1783963805454307
cross_adj,58,426,14.689655172413794,1.8003629764065336,2,3,8,8,0.557560245991533,0.014292196007259528,0.25771324863883843,0.125447027021573,0.3932418345771652,0.04460356140895707
age_adj_4,57,416,14.596491228070175,1.7825814536340852,2,3,7,7,0.5628002797302418,0.014228753702437912,0.26065162907268163,0.12807473621745713,0.3664317715578421,-0.01714207775621728
age_adj_2,57,411,14.421052631578947,1.787593984962406,2,3,6,6,0.561557644675849,0.014319890635680111,0.2575187969924812,0.12662060161307678,0.3650043558604248,0.03249241068245843
ppi,1819,23735,26.096756459593184,2.738959437450067,4,7,1,1,0.37058711465916505,0.0009570497729499541,0.014354651517928042,0.01448326168871166,0.18362178820309943,-0.07022336863335626
age_adj_1,57,409,14.350877192982455,1.7919799498746867,2,3,7,7,0.5594451076081902,0.01439963545226703,0.256265664160401,0.12774372678608453,0.34554686105932647,0.08676770990203396
an_adj,55,353,12.836363636363636,1.8505050505050504,2,3,7,7,0.5426062256356823,0.016047265103868877,0.23771043771043768,0.1279728342230081,0.3704336316340255,0.11877848146935227
