,degree
1,6
3_6_14_48,11
4_5_28_38_46,8
8_44,22
9_45_55_59_62,18
10_27,19
11,13
2_12_19,9
13_43,9
15_57,14
16_25_49,16
17,14
18,20
20,16
21_26_51_60,17
22_39_58,6
24,16
30,14
31,10
7_32,12
33,19
34,16
35,23
29_36_52_63,13
37,16
40,11
41,21
42,20
47,15
50,15
53,15
54,19
56,20
61,13
64,15
65,17
66,22
67,21
68_86,17
71,20
72_81,9
23_69_73,8
74,19
75,13
76,17
77,19
78,18
70_79_83,14
80,13
82,8
84,18
85,14
87,13
88,14
89,15
90,16
91,20
