,degree
1,13
3_6_14_48,14
4_5_28_38_46,10
8_44,17
9_45_55_59_62,12
10_27,19
11,18
2_12_19,11
13_43,7
15_57,10
16_25_49,11
17,14
18,19
20,12
21_26_51_60,15
22_39_58,13
24,16
30,12
31,12
7_32,11
33,13
34,12
35,17
29_36_52_63,17
37,16
40,12
41,20
42,14
47,18
50,16
53,14
54,18
56,15
61,11
64,16
65,15
66,19
67,15
68_86,12
71,14
72_81,7
23_69_73,15
74,20
75,14
76,14
77,17
78,17
70_79_83,12
80,11
82,14
84,21
85,14
87,13
88,19
89,13
90,9
91,18
