,degree,eccentricity,closeness_centrality,betweenness_centrality,degree_centrality,eigenvector_centrality,clustering
1,13,3,0.5384615384615384,0.01552785725499455,0.23214285714285712,0.1022275947968397,0.2948717948717949
4_5_28_38_46,10,3,0.5233644859813084,0.005800940903213631,0.17857142857142855,0.0759602898743413,0.4
9_45_55_59_62,12,3,0.5137614678899083,0.004877271612721892,0.21428571428571427,0.10408645035380296,0.5151515151515151
11,18,3,0.5714285714285714,0.022287686172832832,0.3214285714285714,0.15035611598094636,0.35947712418300654
16_25_49,11,3,0.5137614678899083,0.006253254194798419,0.19642857142857142,0.09800532358596525,0.45454545454545453
20,12,3,0.5490196078431373,0.01185099886909502,0.21428571428571427,0.0932375704508115,0.3333333333333333
22_39_58,13,3,0.56,0.016903160691832106,0.23214285714285712,0.09634635665901271,0.20512820512820512
24,16,2,0.5833333333333334,0.018271349025527385,0.2857142857142857,0.15273796808749843,0.3333333333333333
31,12,3,0.5436893203883495,0.008686435808588126,0.21428571428571427,0.105254845549573,0.3333333333333333
7_32,11,3,0.5233644859813084,0.005449555437315258,0.19642857142857142,0.09492839312716643,0.4909090909090909
37,16,3,0.5773195876288659,0.023953467548610503,0.2857142857142857,0.13063581291164206,0.25833333333333336
47,18,3,0.5656565656565656,0.01741786198697013,0.3214285714285714,0.16241432791539842,0.37254901960784315
82,14,3,0.56,0.013067106123315237,0.25,0.1218806209560912,0.31868131868131866
91,18,2,0.5957446808510638,0.02144904006900609,0.3214285714285714,0.16680412357878896,0.37254901960784315
3_6_14_48,14,3,0.5656565656565656,0.010591938292785735,0.25,0.14383498744887926,0.3956043956043956
8_44,17,3,0.5833333333333334,0.012134517118945582,0.30357142857142855,0.16908395012266542,0.4264705882352941
10_27,19,3,0.5957446808510638,0.026322592997691945,0.33928571428571425,0.18128588812171473,0.34502923976608185
18,19,2,0.6021505376344086,0.022287597447546093,0.33928571428571425,0.1784435509725302,0.34502923976608185
33,13,3,0.5384615384615384,0.007719080779355337,0.23214285714285712,0.1279863871552495,0.4358974358974359
35,17,3,0.5773195876288659,0.025024381924609266,0.30357142857142855,0.14391074920420358,0.27941176470588236
29_36_52_63,17,3,0.5773195876288659,0.019854631014416556,0.30357142857142855,0.1598172771812666,0.35294117647058826
56,15,3,0.56,0.006585573507303658,0.26785714285714285,0.15936200810168855,0.4857142857142857
65,15,3,0.5544554455445545,0.012826077962371006,0.26785714285714285,0.14154296497919658,0.37142857142857144
77,17,2,0.5894736842105263,0.02317553152508277,0.30357142857142855,0.14862343548553494,0.27205882352941174
84,21,3,0.6021505376344086,0.02258944758268001,0.375,0.21269057044149373,0.36666666666666664
40,12,3,0.5544554455445545,0.011081730879282362,0.21428571428571427,0.11126480128388407,0.2727272727272727
53,14,3,0.56,0.018823059589661535,0.25,0.10900445849226113,0.27472527472527475
61,11,3,0.5333333333333333,0.00960319564803194,0.19642857142857142,0.09081652711715654,0.2727272727272727
64,16,3,0.5773195876288659,0.01622098483043927,0.2857142857142857,0.14556980138521664,0.35833333333333334
71,14,3,0.5656565656565656,0.015719558579271722,0.25,0.1127295017641181,0.2857142857142857
23_69_73,15,3,0.56,0.022073343289656707,0.26785714285714285,0.11350126167933729,0.26666666666666666
21_26_51_60,15,3,0.5714285714285714,0.009161218465039258,0.26785714285714285,0.14889761035016597,0.4095238095238095
34,12,3,0.5490196078431373,0.009425667810405217,0.21428571428571427,0.11271083104733225,0.4090909090909091
41,20,2,0.6086956521739131,0.029992123215943575,0.3571428571428571,0.18934095984461255,0.2894736842105263
67,15,3,0.5714285714285714,0.01688632216157425,0.26785714285714285,0.13302173398302514,0.24761904761904763
68_86,12,3,0.5333333333333333,0.006533298490947996,0.21428571428571427,0.1169554015817761,0.4393939393939394
85,14,3,0.56,0.014767468128335811,0.25,0.13131477083947643,0.3076923076923077
2_12_19,11,3,0.5333333333333333,0.00817093576047232,0.19642857142857142,0.09065775972872946,0.4
78,17,3,0.5773195876288659,0.016443701095179855,0.30357142857142855,0.15183821107891354,0.3602941176470588
50,16,2,0.5833333333333334,0.01109532820488691,0.2857142857142857,0.1452493344581417,0.43333333333333335
66,19,2,0.6021505376344086,0.02333111556160188,0.33928571428571425,0.18501327456981068,0.2982456140350877
88,19,2,0.6021505376344086,0.032820871346770274,0.33928571428571425,0.17412108129074128,0.27485380116959063
89,13,3,0.56,0.014252662567569055,0.23214285714285712,0.10289031509807697,0.34615384615384615
72_81,7,3,0.5185185185185185,0.004310392171688272,0.125,0.05407812947679358,0.14285714285714285
74,20,2,0.6086956521739131,0.025120128219331572,0.3571428571428571,0.1885725764839127,0.3157894736842105
42,14,3,0.5544554455445545,0.014367885953702475,0.25,0.1087275477107286,0.3516483516483517
13_43,7,3,0.509090909090909,0.0038817755497950308,0.125,0.055689051381084285,0.23809523809523808
17,14,3,0.5283018867924528,0.014641415322194349,0.25,0.10348328750637063,0.2967032967032967
15_57,10,3,0.5045045045045045,0.004995380792544155,0.17857142857142855,0.07506419438453302,0.4
30,12,3,0.5384615384615384,0.010186451960029708,0.21428571428571427,0.09679640615318313,0.30303030303030304
54,18,3,0.5894736842105263,0.026277769431358677,0.3214285714285714,0.15940137431230775,0.2875816993464052
76,14,3,0.56,0.01444679159936596,0.25,0.11826133721162849,0.34065934065934067
80,11,3,0.49557522123893805,0.004145993938201731,0.19642857142857142,0.09128515950243297,0.5272727272727272
90,9,3,0.5384615384615384,0.006375794081236664,0.1607142857142857,0.0779130058861625,0.2222222222222222
87,13,3,0.5490196078431373,0.0066615173387760745,0.23214285714285712,0.12887838964005024,0.44871794871794873
75,14,2,0.5714285714285714,0.01100744689636269,0.25,0.12618807189728373,0.3626373626373626
70_79_83,12,3,0.5544554455445545,0.00705053604795435,0.21428571428571427,0.11069869662526967,0.3939393939393939
