source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
68_86,12,0.7058823529411764,17,42
76,14,0.6428571428571428,9,13_43
24,16,0.875,14,61
2_12_19,11,0.8461538461538461,13,2_12_19
61,11,0.6470588235294117,17,50
17,14,0.6086956521739131,23,35
23_69_73,15,0.9333333333333333,14,37
70_79_83,12,0.6,20,67
11,18,0.5555555555555556,10,71
35,17,0.9444444444444444,18,21_26_51_60
