source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
23_69_73,0,1.0,0,23_69_73
70_79_83,2,1.0,2,61
68_86,0,1.0,0,68_86
34,0,1.0,0,34
67,1,1.0,1,70_79_83
66,1,1.0,1,56
84,1,1.0,1,21_26_51_60
77,1,1.0,1,40
56,2,1.0,2,35
37,0,1.0,0,37
