source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
68_86,0.5333333333333333,0.9142857142857143,0.5833333333333334,42
76,0.56,0.9523809523809523,0.5333333333333333,13_43
24,0.5833333333333334,0.9795918367346937,0.5714285714285714,61
2_12_19,0.5333333333333333,0.9813084112149532,0.5233644859813084,2_12_19
61,0.5333333333333333,0.9142857142857143,0.5833333333333334,50
17,0.5283018867924528,0.839622641509434,0.6292134831460674,35
23_69_73,0.56,0.9803921568627451,0.5490196078431373,37
70_79_83,0.5544554455445545,0.9108910891089109,0.6086956521739131,67
11,0.5714285714285714,0.9423076923076923,0.5384615384615384,71
35,0.5773195876288659,0.979381443298969,0.5894736842105263,21_26_51_60
