source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
68_86,0.006533298490947996,0.3818879638622662,0.017107893175979567,42
76,0.01444679159936596,0.21629304084355216,0.0031247404854599474,13_43
24,0.018271349025527385,0.8715850343276967,0.015925034367627613,61
2_12_19,0.00817093576047232,0.8493993029217491,0.00694038713916358,2_12_19
61,0.00960319564803194,0.5174348594800611,0.018559235954225446,50
17,0.014641415322194349,0.3455922949142556,0.042366150917302746,35
23_69_73,0.022073343289656707,0.3305397089545453,0.0072961164666168945,37
70_79_83,0.007050536047954348,0.23486155132332853,0.030019967117768193,67
11,0.022287686172832832,0.2507040955890718,0.005587614204733118,71
35,0.025024381924609266,0.7683188079172785,0.01922670328918248,21_26_51_60
