source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
23_69_73,15,0.9333333333333333,14,23_69_73
70_79_83,12,0.7058823529411764,17,61
68_86,12,0.7058823529411764,17,68_86
34,12,0.6666666666666667,18,34
67,15,0.5333333333333333,8,70_79_83
66,19,0.7894736842105263,15,56
84,21,0.6666666666666667,14,21_26_51_60
77,17,0.6470588235294117,11,40
56,15,0.8,12,35
37,16,1.0,16,37
