source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
3_6_14_48,0.014284761117283254,0.553828967879599,0.007911314505991612,82
80,0.013327568232912042,0.7687255747792914,0.01733722497360455,65
8_44,0.011785053055464607,0.8997000669844958,0.010603013023417344,74_75
17,0.006317704858924706,0.7576575656625796,0.008338469970137243,80
65,0.030545895627472,0.2748233599429918,0.008394725668809798,30
29_36_52_63,0.007589288377713107,0.28486952502127316,0.026641278589369512,87
54,0.03371078306615185,0.9688869274057474,0.03266193702540557,24
20,0.01086574423534649,0.772586349078748,0.008394725668809798,30
42,0.021281943163762147,0.4831024166443968,0.010281358173302193,50
