source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
3_6_14_48,0.32051282051282054,0.5571428571428572,0.17857142857142858,82
80,0.41904761904761906,0.7648601398601399,0.32051282051282054,65
8_44,0.4065934065934066,0.7651651651651652,0.3111111111111111,74_75
17,0.4909090909090909,0.4526748971193415,0.2222222222222222,80
65,0.32679738562091504,0.8650519031141869,0.37777777777777777,30
29_36_52_63,0.4166666666666667,0.6153846153846153,0.2564102564102564,87
54,0.3161764705882353,0.7530454042081949,0.23809523809523808,24
20,0.3939393939393939,0.958974358974359,0.37777777777777777,30
42,0.3523809523809524,0.969047619047619,0.36363636363636365,50
