source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
68_86,3,0.33333333333333337,1,42
76,2,1.0,2,13_43
24,2,1.0,2,61
2_12_19,0,1.0,0,2_12_19
61,2,1.0,2,50
17,2,1.0,2,35
23_69_73,1,1.0,1,37
70_79_83,1,1.0,1,67
11,2,1.0,2,71
35,1,1.0,1,21_26_51_60
