source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
23_69_73,0.26666666666666666,0.8666666666666666,0.3076923076923077,23_69_73
70_79_83,0.3939393939393939,0.8212669683257919,0.3235294117647059,61
68_86,0.4393939393939394,0.8701825557809331,0.38235294117647056,68_86
34,0.4090909090909091,0.6870007262164124,0.28104575163398693,34
67,0.24761904761904763,0.5777777777777778,0.42857142857142855,70_79_83
66,0.2982456140350877,0.6263157894736842,0.47619047619047616,56
84,0.36666666666666664,0.9268518518518518,0.3956043956043956,21_26_51_60
77,0.27205882352941174,0.5985294117647059,0.45454545454545453,40
56,0.4857142857142857,0.8422459893048129,0.4090909090909091,35
37,0.25833333333333336,0.7560975609756098,0.3416666666666667,37
