,num_nodes,num_edges,avg_degree,avg_shortest_path,radius,diameter,node_connectivity,edge_connectivity,avg_closeness_centrality,avg_betweenness_centrality,avg_degree_centrality,avg_eigenvector_centrality,avg_clustering
bn.txt,61,350,11.475409836065573,1.9814207650273223,2,3,4,4,0.5079467354787345,0.016634250254700382,0.19125683060109286,0.11831460455541917,0.31481955944093687
an.txt,55,353,12.836363636363636,1.8505050505050504,2,3,7,7,0.5426062256356822,0.016047265103868873,0.2377104377104377,0.12797283422300812,0.37043363163402565
age1.txt,57,409,14.350877192982455,1.7919799498746867,2,3,7,7,0.5594451076081902,0.014399635452267032,0.256265664160401,0.12774372678608453,0.3455468610593264
age3.txt,57,433,15.192982456140351,1.7700501253132832,2,3,6,6,0.5674407456760001,0.014000911369332424,0.2713032581453634,0.12618171310382068,0.38687462925796345
age2.txt,57,411,14.421052631578947,1.787593984962406,2,3,6,6,0.561557644675849,0.014319890635680111,0.2575187969924812,0.1266206016130768,0.3650043558604249
edi3.txt,58,426,14.689655172413794,1.8003629764065336,2,3,8,8,0.557560245991533,0.014292196007259526,0.25771324863883843,0.125447027021573,0.3932418345771654
age4.txt,57,416,14.596491228070175,1.7825814536340852,2,3,7,7,0.5628002797302418,0.014228753702437912,0.2606516290726817,0.1280747362174571,0.3664317715578422
