,degree,eccentricity,closeness_centrality,betweenness_centrality,degree_centrality,eigenvector_centrality,clustering
1,13,3,0.5436893203883495,0.009777300297143993,0.23214285714285712,0.11675113929323826,0.358974358974359
8_44,24,2,0.6363636363636364,0.03661136438591053,0.42857142857142855,0.22046331020363397,0.31521739130434784
9_45_55_59_62,10,3,0.509090909090909,0.0029312108968061338,0.17857142857142855,0.09124153058083101,0.5333333333333333
16_25_49,15,3,0.5714285714285714,0.010552822107729497,0.26785714285714285,0.13475846830356886,0.42857142857142855
30,11,3,0.5333333333333333,0.005784553066624423,0.19642857142857142,0.0887856378841635,0.41818181818181815
31,14,3,0.5384615384615384,0.018538626633962885,0.25,0.10228948396007512,0.2857142857142857
7_32,15,2,0.5773195876288659,0.007931197169991456,0.26785714285714285,0.14182311864361138,0.5047619047619047
29_36_52_63,13,3,0.5544554455445545,0.009698856670935884,0.23214285714285712,0.12084478552367432,0.358974358974359
37,16,3,0.5714285714285714,0.016612368132456225,0.2857142857142857,0.14443121391046426,0.3416666666666667
41,17,2,0.5894736842105263,0.015480547038335615,0.30357142857142855,0.16080837168615916,0.40441176470588236
47,16,3,0.5773195876288659,0.0219565439595864,0.2857142857142857,0.12593743461718868,0.325
50,17,3,0.5833333333333334,0.01639217735547407,0.30357142857142855,0.16153755426318514,0.38235294117647056
76,18,2,0.5957446808510638,0.028804848275896407,0.3214285714285714,0.1480765966665068,0.22875816993464052
78,19,2,0.6021505376344086,0.01798731259775314,0.33928571428571425,0.17789718971834134,0.4093567251461988
3_6_14_48,11,3,0.5384615384615384,0.008985702285289362,0.19642857142857142,0.09684542236724684,0.32727272727272727
11,17,2,0.5894736842105263,0.019464669192245546,0.30357142857142855,0.14521137389923552,0.35294117647058826
18,16,3,0.5656565656565656,0.011505663200025324,0.2857142857142857,0.15432475741110185,0.4166666666666667
21_26_51_60,14,3,0.5544554455445545,0.009823120618158935,0.25,0.12972034594334478,0.3956043956043956
22_39_58,8,3,0.509090909090909,0.004734303490722821,0.14285714285714285,0.05905369460919517,0.17857142857142858
24,22,2,0.6222222222222222,0.03179814830583618,0.39285714285714285,0.20538561479382594,0.31601731601731603
33,19,3,0.5894736842105263,0.01884337514690887,0.33928571428571425,0.17583356957141666,0.36257309941520466
35,12,3,0.5490196078431373,0.00684205095135484,0.21428571428571427,0.10974048249140018,0.4090909090909091
67,16,3,0.5656565656565656,0.014097749071779856,0.2857142857142857,0.14842147317191987,0.35833333333333334
75,14,3,0.56,0.013652301924410493,0.25,0.11902448792794217,0.3076923076923077
85,19,2,0.6021505376344086,0.029150937277028357,0.33928571428571425,0.16375519630905916,0.2982456140350877
87,11,3,0.5490196078431373,0.007947919736906485,0.19642857142857142,0.09831442278606584,0.32727272727272727
4_5_28_38_46,11,3,0.5384615384615384,0.009782142548227832,0.19642857142857142,0.0840710749315509,0.38181818181818183
34,18,3,0.5894736842105263,0.023941226457630013,0.3214285714285714,0.15360482235964582,0.28104575163398693
40,11,3,0.5384615384615384,0.005968339419223264,0.19642857142857142,0.09634116110906436,0.45454545454545453
53,21,2,0.6153846153846154,0.045694047386117265,0.375,0.16187204009624248,0.3047619047619048
61,17,2,0.5894736842105263,0.022534659089923016,0.30357142857142855,0.13173453545586272,0.3235294117647059
64,8,3,0.5,0.0012269716499039806,0.14285714285714285,0.0709493820506923,0.6785714285714286
68_86,17,3,0.5833333333333334,0.014743859936496467,0.30357142857142855,0.15296894687135384,0.38235294117647056
71,8,3,0.509090909090909,0.004927090055256175,0.14285714285714285,0.05634041805668747,0.4642857142857143
23_69_73,14,2,0.5714285714285714,0.016854690285700885,0.25,0.10697483722095998,0.3076923076923077
82,10,3,0.5185185185185185,0.006942943208869464,0.17857142857142855,0.0722195443708688,0.26666666666666666
10_27,16,3,0.56,0.01112739213916439,0.2857142857142857,0.16358808970399039,0.43333333333333335
17,14,3,0.56,0.009413145417643888,0.25,0.11998793502135886,0.38461538461538464
20,10,3,0.5283018867924528,0.0047544457787258455,0.17857142857142855,0.09511173881914699,0.35555555555555557
54,18,3,0.5833333333333334,0.02643938110453297,0.3214285714285714,0.1451007498921338,0.2875816993464052
56,15,3,0.5544554455445545,0.006461025242801976,0.26785714285714285,0.1564720415275769,0.47619047619047616
65,17,2,0.5894736842105263,0.020979817357536536,0.30357142857142855,0.1458919034478907,0.3382352941176471
66,18,2,0.5957446808510638,0.021929073364745814,0.3214285714285714,0.16937410858160507,0.32679738562091504
77,17,2,0.5894736842105263,0.02092590521787718,0.30357142857142855,0.15017857271524052,0.3088235294117647
70_79_83,8,3,0.509090909090909,0.005153303632224429,0.14285714285714285,0.07345460288191068,0.42857142857142855
84,19,2,0.6021505376344086,0.020644352048460775,0.33928571428571425,0.17842556641951662,0.36257309941520466
90,15,3,0.5714285714285714,0.01903465084528609,0.26785714285714285,0.13943580112282766,0.3619047619047619
2_12_19,10,3,0.5,0.0022357377580344124,0.17857142857142855,0.0889823868995035,0.6222222222222222
42,17,2,0.5894736842105263,0.01914521641779418,0.30357142857142855,0.1597646840134175,0.34558823529411764
91,20,2,0.6086956521739131,0.020733720156755415,0.3571428571428571,0.18728108259875273,0.3684210526315789
13_43,11,3,0.5436893203883495,0.008382323717485065,0.19642857142857142,0.08834585232590278,0.2545454545454545
15_57,10,3,0.5283018867924528,0.005332609096471322,0.17857142857142855,0.08149705486184822,0.3111111111111111
74,14,3,0.56,0.016380396180949122,0.25,0.10540657767997728,0.3076923076923077
88,10,3,0.5384615384615384,0.007596473221454036,0.17857142857142855,0.0787593607856433,0.3333333333333333
89,14,3,0.5544554455445545,0.011820764884377435,0.25,0.12262323336944549,0.34065934065934067
80,11,3,0.5436893203883495,0.00550115780007253,0.19642857142857142,0.09984637691716583,0.4
72_81,6,3,0.4666666666666667,0.0037212350247507317,0.10714285714285714,0.03949313330119858,0.26666666666666666
