"","1","3_6_14_48","4_5_28_38_46","8_44","9_45_55_59_62","10_27","11","2_12_19","13_43","15_57","16_25_49","17","18","20","21_26_51_60","22_39_58","24","30","31","7_32","33","34","35","29_36_52_63","37","40","41","42","47","50","53","54","56","61","64","65","66","67","68_86","71","72_81","23_69_73","74","75","76","77","78","70_79_83","80","82","84","85","87","88","89","90","91"
"1",0,0,0,0,0,0.00773053645192921,0.195522869315448,0,0,0,0.122890427819979,0,0,0,0,0,0,0,0,0.0817281341533891,0,0,0,0,0,0,0,0,0.163102850465635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416316586561781,0,0,0,0,0,0,0,0,0,0,0
"3_6_14_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000933572105686629,0.471331237110935,0.0608680173637051,0,0,0,0.0270510596872721,0,0.184572201814515,0,0,0,0,0.0251805957663884,0,0,0,0,0,0.00416331653330826,0,0,0,0,0,0,0,0,0.0127817018546723,0,0,0,0,0.00108065271122143,0,0,0.0290828054367941,0,0.0404693170140949,0,0,0,0
"4_5_28_38_46",0,0,0,0,0,0,0,0,0,0,0,-0.0156013632112425,0,0,0,0,0,0,-0.0142719686185802,0,0,0,0,0,0,0,0,0,0,0,0.122400235801125,0,0,0.387668784426502,0.424084635494253,0,0,0,0,-0.0432812599324054,0,0,0,-0.0317848127275547,0,0,0,0,0,-0.00898005189642615,0,0,0,0,0,0,0
"8_44",0,0,0,0,0.0334709548053629,0.135233399042835,0,0,0,0,0.00413434231281801,0,0.0301924759851171,0.0613295799363573,0.157168986935865,0,0,0,0,0,0.110894179329725,0.0302107108915087,0.0446781380800561,0,0,0.0772300726172117,0,0,0,0,0.0072589046490829,0.0189539719911828,0,0,0,0,0.0212599325033539,0.143364235186034,0.0537080457756854,0,0.024392773698129,0,0.0437033280491418,0.00559888213685359,0,0.0459011736303379,0,0.00941484000478173,0,0,0,0,0,0.000737972267407563,0,0.063392920573922,0
"9_45_55_59_62",0,0,0,0.0334709548053629,0,0.00156736881218239,0.0313614847218629,0.262422897562103,0,0,0.078269217162263,0,0,0,0,0,0.0161571677431611,0,0.357231399653508,0.198530361210607,0,0,0,0,0,0,0.0233782231428725,0.0159938971072063,0,0,0.0228445465548106,0.00675584534826327,0.00605882086526199,0,0,0,0,0,0.00791705823709058,0,0,0,0,0,0,0.0443490597275338,0.021813005321301,0,0,0,0,0,0,0.0064795247023752,0,0.010889360618147,0
"10_27",0.00773053645192921,0,0,0.135233399042835,0.00156736881218239,0,0,0,0,0,0,0,0.0735683293427262,0.110691538299057,0,0,0.0959208322322562,0,0,0,0,0,0.0874476181054682,0.0692824592420849,0.0735504128965412,0,0.164955604556831,0.102752357193508,0,0.120187613522288,0,0.0223097848074156,0,0,0,0.0229070130766624,0.0397871391138059,0.0511334977187482,0,0,0,0,0,0,0,0,0,0,0,0,0.0294774590490479,0,0,0,0.0150998632639653,0.0631260299997084,0
"11",0.195522869315448,0,0,0,0.0313614847218629,0,0,0,0,0,0.0269878393516705,0,0,0,0,0,0,0,0.0909672459403176,0.0916059185917553,0,0,0,0.107775395278588,0.0436434867807393,0.063803321480778,0,0,0.0947525874388818,0,0,0,0,0.111745888344982,0.0653520144610598,0,0,0,0.066064132822572,0,0,0,0,0,0,0.0246017575847529,0,0,0,0,0,0,0,0,0,0,0
"2_12_19",0,0,0,0,0.262422897562103,0,0,0,0,0,0.0475630837906963,0,0,0,0,0,0,0,0,0.244233130603049,0,0,0,0,0.0758630937512762,0,0.0606540525412416,0.0121802075104973,0.0532504237107653,0.0180327873584079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027626265198731,0,0,0,0,0,0,0,0,0,0
"13_43",0,0,0,0,0,0,0,0,0,0,0,0,0.00794210172762204,0,0,0,0,0.00264069949411719,0,0,0,0,0,0.256921145635654,0,0,0,0,0,0,0,0,0.0040358448379685,0,0,0.0262424359048503,0,0,0,0,0,0,0.015149048704682,0.00316985265749343,0,0,0,0,0,0.013271925822908,0,0,0,0,0.0311432904712117,0,0
"15_57",0,0,0,0,0,0,0,0,0,0,0,0.181452901014838,0,0,0,0,0,0.046044886326358,0,0,-0.00160771280940696,0.251907517797321,0,0,0,0,0,0,0,0.0419015927516884,0,0,0,0,0,0,0,-0.0934657067236269,0,0.0150867765288365,0,0.156042696807675,0,0,0.055048159615745,0,0,-0.00774685961774175,0,0,0,-0.00311686612932699,0,0,0.0866026917355038,0.0219128685519765,0.00627733437966063
"16_25_49",0.122890427819979,0,0,0.00413434231281801,0.078269217162263,0,0.0269878393516705,0.0475630837906963,0,0,0,0,0,0,0,0,0.0116618166779779,0,0,0.369637461225988,0,0,0,0.031113748525407,0.0185815226930247,0.0418056312791642,0.0179212398563464,0,0.0814915349247916,0,0.0724227073673109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179523664631053,0.0816053613059242,0,0,0,0,0.00398945160558169,0,0,0,0,0
"17",0,0,-0.0156013632112425,0,0,0,0,0,0,0.181452901014838,0,0,0.0429530979603685,0,0,0,0,0.215878827701868,0,0,0,0.013798085715542,0,0,0.0136653987997332,0,0,0.0203274883718227,0,0,0,0.162151557216006,0,0,0,0.143957510167411,0,0,0,0,0,0,0.0403236115004121,0,0.0226386838602664,0,0,0,0,0,0,0,0,0.0540942416043766,0.0750712027811951,0.00641981348586476,0
"18",0,0,0,0.0301924759851171,0,0.0735683293427262,0,0,0.00794210172762204,0,0,0.0429530979603685,0,0.065717268006626,0,0,0.0917538957512952,0.0724990741904535,0,0,0.0323142261639476,0,0,0.0476182246441965,0.0104507304695771,0,0,0,0,0,0,0.0205266121921438,0.162283190035828,0,0,0.100762960388521,0,0.0819724336482017,0,0,0,0,0.0193506352577446,0,0.0419963606865874,0,0,0,0,0,0.046084478501647,0,0,0.0577234196465618,0.0897066144004915,0,0.00799840593098367
"20",0,0,0,0.0613295799363573,0,0.110691538299057,0,0,0,0,0,0,0.065717268006626,0,0.0745621404857874,0,0,0,0,0,0,0.0116742729460918,0,0,0.0635437548747205,0.0199103507168912,0,0.138095131862304,0,0,0,0,0.00768656896564405,0,0,0.0779740640102011,0,0,0,0,0.019388645487653,0,0,0,0,0.0166359054804979,0,0,0.0834686832630371,0,0.0922299407408648,0,0,0,0.0129596800132616,0,0.0916936938654521
"21_26_51_60",0,0.000933572105686629,0,0.157168986935865,0,0,0,0,0,0,0,0,0,0.0745621404857874,0,0,0,0,0,0,0.182912713996543,0.201845845765735,0.0388401157338511,0.0097222914086846,0,0.10010874437395,0,0,0,0,0,0,0.10117726037425,0.0129296904925944,0.0399142464713245,0,0.0031103141381734,0,0.00181851674336609,0,0.0166109230281281,0,0,0,0,0.183136947851232,0,0,0,0.0357853293832432,0,0,0,0,0,0,0.0981519039521015
"22_39_58",0,0.471331237110935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593813054168114,0,0.00498110349306184,0,0,0.0172440295689005,0,0.000416750729104614,-0.026483822240019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0.0608680173637051,0,0,0.0161571677431611,0.0959208322322562,0,0,0,0,0.0116618166779779,0,0.0917538957512952,0,0,0,0,0,0,0.0181941386653804,0,0,0.0532275265748463,0,0,0,0.124597636568311,0,0,0.0612527525632427,0,0,0.114921395700326,0,0,0.0301704664249112,0,0.0481020611141009,0,0,0,0,0,0,0,0.0192582303386005,0.0362902853564381,0,0.035999704964087,0,0.146351996109033,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0.00264069949411719,0.046044886326358,0,0.215878827701868,0.0724990741904535,0,0,0,0,0,0.00968153333290552,0,-0.00708513007068621,0,0,0,0,0,0,0,0,0.0378697197568793,0,0,0,0,0,0,0,0,0,0.0012316944597615,0,0.245831202601875,0.00357507638434921,0,0.0501054560587182,0,0,0,0,0,0,0,0.14893480032142,0,0.0875006627653764,0,0.0223735002305491
